From,To,weight
Huan Liu 0001,Jiliang Tang,6
Huan Liu 0001,Suhang Wang,3
Huan Liu 0001,Suhas Ranganath,1
Huan Liu 0001,Xia Hu,3
Jiliang Tang,Suhang Wang,3
Jiliang Tang,Suhas Ranganath,1
Jiliang Tang,Xia Hu,2
Suhang Wang,Suhas Ranganath,1
Suhang Wang,Xia Hu,1
Suhas Ranganath,Xia Hu,1
Albara Ah Ramli,Huasen Wu,1
Albara Ah Ramli,Tianxiao Zhang,1
Albara Ah Ramli,Xin Liu 0002,1
Albara Ah Ramli,Yanan Bao,1
Huasen Wu,Tianxiao Zhang,1
Huasen Wu,Xin Liu 0002,2
Huasen Wu,Yanan Bao,2
Tianxiao Zhang,Xin Liu 0002,1
Tianxiao Zhang,Yanan Bao,1
Xin Liu 0002,Yanan Bao,2
Takahiro Hara,Tomoki Yoshihisa,1
Alyssa Glass,Shuguang Han,1
Alyssa Glass,Xing Yi,1
Alyssa Glass,Zhen Yue,1
Alyssa Glass,Zhigeng Geng,1
Shuguang Han,Xing Yi,1
Shuguang Han,Zhen Yue,1
Shuguang Han,Zhigeng Geng,1
Xing Yi,Zhen Yue,1
Xing Yi,Zhigeng Geng,1
Zhen Yue,Zhigeng Geng,1
Ankita Mangal,Nishant Kumar 0006,1
Armineh Nourbakhsh,Mohammad Mahdi Ghassemi,1
Armineh Nourbakhsh,Quanzhi Li,5
Armineh Nourbakhsh,Rui Fang,5
Armineh Nourbakhsh,Sameena Shah,5
Armineh Nourbakhsh,Xiaomo Liu,5
Mohammad Mahdi Ghassemi,Quanzhi Li,1
Mohammad Mahdi Ghassemi,Rui Fang,1
Mohammad Mahdi Ghassemi,Sameena Shah,1
Mohammad Mahdi Ghassemi,Xiaomo Liu,1
Quanzhi Li,Rui Fang,6
Quanzhi Li,Sameena Shah,6
Quanzhi Li,Xiaomo Liu,5
Rui Fang,Sameena Shah,6
Rui Fang,Xiaomo Liu,5
Sameena Shah,Xiaomo Liu,5
Jianguo Xiao,Jiwei Tan,1
Jianguo Xiao,Xiaojun Wan 0001,1
Jiwei Tan,Xiaojun Wan 0001,1
Bei Shi,Lidong Bing,1
Bei Shi,Wai Lam,2
Bei Shi,Yinqing Xu,1
Lidong Bing,Wai Lam,1
Lidong Bing,Yinqing Xu,1
Wai Lam,Yinqing Xu,1
Ce Zhang,Cong Zheng,1
Ce Zhang,Heqing Huang,1
Ce Zhang,Junyuan Zeng,1
Ce Zhang,Peng Liu 0005,1
Ce Zhang,Sencun Zhu,1
Ce Zhang,Suresh Chari,1
Ce Zhang,Wu Zhou,1
Cong Zheng,Heqing Huang,1
Cong Zheng,Junyuan Zeng,1
Cong Zheng,Peng Liu 0005,1
Cong Zheng,Sencun Zhu,1
Cong Zheng,Suresh Chari,1
Cong Zheng,Wu Zhou,1
Heqing Huang,Junyuan Zeng,1
Heqing Huang,Peng Liu 0005,1
Heqing Huang,Sencun Zhu,1
Heqing Huang,Suresh Chari,1
Heqing Huang,Wu Zhou,1
Junyuan Zeng,Peng Liu 0005,1
Junyuan Zeng,Sencun Zhu,1
Junyuan Zeng,Suresh Chari,1
Junyuan Zeng,Wu Zhou,1
Peng Liu 0005,Sencun Zhu,1
Peng Liu 0005,Suresh Chari,1
Peng Liu 0005,Wu Zhou,1
Sencun Zhu,Suresh Chari,1
Sencun Zhu,Wu Zhou,1
Suresh Chari,Wu Zhou,1
Rajesh Sankaran,Ricardo A. Calix,1
Jaroslaw Szlichta,Lukasz Golab,1
Jaroslaw Szlichta,Mehdi Kargar,1
Lukasz Golab,Mehdi Kargar,1
J. M. Rogers,N. Askarzadeh,1
J. M. Rogers,R. Jain,1
J. M. Rogers,R. Retting,1
J. M. Rogers,S. S. Dey,1
J. M. Rogers,X. Liang,1
N. Askarzadeh,R. Jain,1
N. Askarzadeh,R. Retting,1
N. Askarzadeh,S. S. Dey,1
N. Askarzadeh,X. Liang,1
R. Jain,R. Retting,1
R. Jain,S. S. Dey,1
R. Jain,X. Liang,1
R. Retting,S. S. Dey,1
R. Retting,X. Liang,1
S. S. Dey,X. Liang,1
Chuanfei Xu,Yan Liu,2
Chuanfei Xu,Yongyi Xian,2
Yan Liu,Yongyi Xian,2
Chun-Ta Lu,Lifang He 0001,2
Chun-Ta Lu,Philip S. Yu,5
Chun-Ta Lu,Weixiang Shao,2
Lifang He 0001,Philip S. Yu,2
Lifang He 0001,Weixiang Shao,1
Philip S. Yu,Weixiang Shao,2
Ankush Khandelwal,James Gerber,1
Ankush Khandelwal,Kimberly Carlson,1
Ankush Khandelwal,Paul C. West,1
Ankush Khandelwal,Vipin Kumar,1
Ankush Khandelwal,Xiaowei Jia,1
James Gerber,Kimberly Carlson,1
James Gerber,Paul C. West,1
James Gerber,Vipin Kumar,1
James Gerber,Xiaowei Jia,1
Kimberly Carlson,Paul C. West,1
Kimberly Carlson,Vipin Kumar,1
Kimberly Carlson,Xiaowei Jia,1
Paul C. West,Vipin Kumar,1
Paul C. West,Xiaowei Jia,1
Vipin Kumar,Xiaowei Jia,2
Dejun Huang,Dhruv Gairola,1
Dejun Huang,Fei Chiang,1
Dejun Huang,Yu Huang,1
Dejun Huang,Zheng Zheng,1
Dhruv Gairola,Fei Chiang,1
Dhruv Gairola,Yu Huang,1
Dhruv Gairola,Zheng Zheng,1
Fei Chiang,Yu Huang,1
Fei Chiang,Zheng Zheng,1
Yu Huang,Zheng Zheng,1
Amy She-Nash,Eran Shaham,1
Amy She-Nash,Isabel Choo Zhongyan,1
Amy She-Nash,Jingxuan Wang,1
Amy She-Nash,Qirong Ho,1
Amy She-Nash,Shonali Krishnaswamy,1
Amy She-Nash,The Anh Dang,1
Amy She-Nash,Wenqing Lin,1
Eran Shaham,Isabel Choo Zhongyan,1
Eran Shaham,Jingxuan Wang,1
Eran Shaham,Qirong Ho,1
Eran Shaham,Shonali Krishnaswamy,1
Eran Shaham,The Anh Dang,1
Eran Shaham,Wenqing Lin,1
Isabel Choo Zhongyan,Jingxuan Wang,1
Isabel Choo Zhongyan,Qirong Ho,1
Isabel Choo Zhongyan,Shonali Krishnaswamy,1
Isabel Choo Zhongyan,The Anh Dang,1
Isabel Choo Zhongyan,Wenqing Lin,1
Jingxuan Wang,Qirong Ho,1
Jingxuan Wang,Shonali Krishnaswamy,1
Jingxuan Wang,The Anh Dang,1
Jingxuan Wang,Wenqing Lin,1
Qirong Ho,Shonali Krishnaswamy,1
Qirong Ho,The Anh Dang,1
Qirong Ho,Wenqing Lin,1
Shonali Krishnaswamy,The Anh Dang,1
Shonali Krishnaswamy,Wenqing Lin,1
The Anh Dang,Wenqing Lin,1
Chunkun Bo,Jeffrey J. Fox,1
Chunkun Bo,Ke Wang 0011,1
Chunkun Bo,Kevin Skadron,1
Jeffrey J. Fox,Ke Wang 0011,1
Jeffrey J. Fox,Kevin Skadron,1
Ke Wang 0011,Kevin Skadron,1
Jian-Yun Nie,Josiane Mothe,1
Jian-Yun Nie,Romain Deveaud,1
Josiane Mothe,Romain Deveaud,1
Alexander Markowetz,Maria Christoforaki,1
Alexander Markowetz,Pascal Welke,1
Alexander Markowetz,Torsten Suel,1
Maria Christoforaki,Pascal Welke,1
Maria Christoforaki,Torsten Suel,1
Pascal Welke,Torsten Suel,1
S. Roy,Srabasti Dutta,1
S. Roy,Sumantro Ray,1
Srabasti Dutta,Sumantro Ray,1
Gheorghi Guzun,Guadalupe Canahuate,1
Gheorghi Guzun,Josiah C. McClurg,1
Gheorghi Guzun,Raghuraman Mudumbai,1
Guadalupe Canahuate,Josiah C. McClurg,1
Guadalupe Canahuate,Raghuraman Mudumbai,1
Josiah C. McClurg,Raghuraman Mudumbai,1
Hao Zhuang,Karl Aberer,1
Hao Zhuang,Pan Hui,1
Hao Zhuang,Rameez Rahman,1
Hao Zhuang,Tian Guo 0002,1
Hao Zhuang,Xia Hu,1
Karl Aberer,Pan Hui,1
Karl Aberer,Rameez Rahman,1
Karl Aberer,Tian Guo 0002,1
Karl Aberer,Xia Hu,1
Pan Hui,Rameez Rahman,1
Pan Hui,Tian Guo 0002,1
Pan Hui,Xia Hu,1
Rameez Rahman,Tian Guo 0002,1
Rameez Rahman,Xia Hu,1
Tian Guo 0002,Xia Hu,1
Bonghee Hong,Jaegi Hong,2
Bonghee Hong,Jinsu Ahn,1
Bonghee Hong,Jiwan Lee,1
Jaegi Hong,Jinsu Ahn,1
Jaegi Hong,Jiwan Lee,1
Jinsu Ahn,Jiwan Lee,1
John A. Miller,Vinay Kumar Bingi,1
John A. Miller,Vishnu Gowda Harish,1
Vinay Kumar Bingi,Vishnu Gowda Harish,1
Andrew Cobley,Christopher Hillman,1
Andrew Cobley,Karen E. Petrie,1
Andrew Cobley,Mark Whitehorn,1
Christopher Hillman,Karen E. Petrie,1
Christopher Hillman,Mark Whitehorn,1
Karen E. Petrie,Mark Whitehorn,1
Alexander C. Shulyak,Lizy K. John,1
Avishek Anand,Jaspreet Singh,1
Avishek Anand,Johannes Hoffart,1
Jaspreet Singh,Johannes Hoffart,1
Lionel M. Ni,Wuman Luo,1
Lionel M. Ni,Xibo Zhou,1
Lionel M. Ni,Ye Ding,1
Lionel M. Ni,Yuda Zang,1
Lionel M. Ni,Yudian Ji,1
Wuman Luo,Xibo Zhou,1
Wuman Luo,Ye Ding,1
Wuman Luo,Yuda Zang,1
Wuman Luo,Yudian Ji,1
Xibo Zhou,Ye Ding,1
Xibo Zhou,Yuda Zang,1
Xibo Zhou,Yudian Ji,1
Ye Ding,Yuda Zang,1
Ye Ding,Yudian Ji,1
Yuda Zang,Yudian Ji,1
Andrea Ferretti,Francesco Gullo,1
Andrea Ferretti,Gianluca Sabena,1
Andrea Ferretti,Ilaria Bordino,1
Andrea Ferretti,Marcello Paris,1
Andrea Ferretti,Marco Firrincieli,1
Andrea Ferretti,Stefano Pascolutti,1
Francesco Gullo,Gianluca Sabena,1
Francesco Gullo,Ilaria Bordino,1
Francesco Gullo,Marcello Paris,1
Francesco Gullo,Marco Firrincieli,1
Francesco Gullo,Stefano Pascolutti,1
Gianluca Sabena,Ilaria Bordino,1
Gianluca Sabena,Marcello Paris,1
Gianluca Sabena,Marco Firrincieli,1
Gianluca Sabena,Stefano Pascolutti,1
Ilaria Bordino,Marcello Paris,1
